,iid,shape_0,size_0,color_0,material_0,appr_corr_0,material_0shape_0,shape_0color_0,size_0material_0,material_0shape_0color_0,size_0material_0color_0,size_0material_0shape_0,size_0shape_0color_0,intr_corr_0,seed,images,_runtime,_timestamp,_step
102,0.5,,0.5,,,,,,,,,,,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",855,1637027034,0
103,0.25,,0.75,,,,,,,,,,,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",856,1637026953,0
104,0.75,,0.25,,,,,,,,,,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",869,1637027031,0
105,0.5,,0.5,,,,,,,,,,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",851,1637026951,0
106,0.25,,0.75,,,,,,,,,,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",856,1637027041,0
107,0.75,,0.25,,,,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",847,1637026945,0
108,0.5,,0.5,,,,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",830,1637026931,0
109,0.25,,0.75,,,,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",863,1637027010,0
110,0.75,,0.25,,,,,,,,,,,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",844,1637027033,0
111,0.5,,0.5,,,,,,,,,,,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",857,1637026954,0
112,0.25,,0.75,,,,,,,,,,,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",859,1637026956,0
113,0.75,,0.25,,,,,,,,,,,,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",842,1637027003,0
114,0.5,,0.5,,,,,,,,,,,,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",868,1637027050,0
115,0.25,,0.75,,,,,,,,,,,,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",837,1637026934,0
116,0.75,,0.25,,,,,,,,,,,,13.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",848,1637026948,0
117,0.5,,0.5,,,,,,,,,,,,13.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",864,1637027008,0
118,0.25,,0.75,,,,,,,,,,,,13.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",847,1637027043,0
119,0.75,,,0.25,,,,,,,,,,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",846,1637026946,0
120,0.5,,,0.5,,,,,,,,,,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",836,1637026952,0
121,0.25,,,0.75,,,,,,,,,,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",833,1637026976,0
122,0.75,,,0.25,,,,,,,,,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",845,1637026944,0
123,0.5,,,0.5,,,,,,,,,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",855,1637026957,0
124,0.25,,,0.75,,,,,,,,,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",864,1637027006,0
125,0.75,,,0.25,,,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",859,1637027058,0
126,0.5,,,0.5,,,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",867,1637026966,0
127,0.25,,,0.75,,,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",851,1637026953,0
128,0.75,,,0.25,,,,,,,,,,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",839,1637026985,0
129,0.5,,,0.5,,,,,,,,,,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",839,1637027032,0
130,0.25,,,0.75,,,,,,,,,,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",799,1637026897,0
131,0.75,,,0.25,,,,,,,,,,,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",798,1637026898,0
132,0.5,,,0.5,,,,,,,,,,,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",799,1637026920,0
133,0.25,,,0.75,,,,,,,,,,,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",795,1637026919,0
134,0.75,,,0.25,,,,,,,,,,,13.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",800,1637026898,0
135,0.5,,,0.5,,,,,,,,,,,13.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",802,1637026902,0
136,0.25,,,0.75,,,,,,,,,,,13.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",794,1637026896,0
137,0.75,,,,0.25,,,,,,,,,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",817,1637026915,0
138,0.5,,,,0.5,,,,,,,,,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",825,1637026940,0
139,0.25,,,,0.75,,,,,,,,,,0.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",846,1637026988,0
140,0.75,,,,0.25,,,,,,,,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",767,1637026866,0
141,0.5,,,,0.5,,,,,,,,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",847,1637026946,0
142,0.25,,,,0.75,,,,,,,,,,5.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",864,1637026965,0
143,0.75,,,,0.25,,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",861,1637027004,0
144,0.5,,,,0.5,,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",851,1637027052,0
145,0.25,,,,0.75,,,,,,,,,,6.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",833,1637026931,0
146,0.75,,,,0.25,,,,,,,,,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",861,1637026962,0
147,0.5,,,,0.5,,,,,,,,,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",859,1637027008,0
148,0.25,,,,0.75,,,,,,,,,,7.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",863,1637027053,0
149,0.75,,,,0.25,,,,,,,,,,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",850,1637026948,0
150,0.5,,,,0.5,,,,,,,,,,11.0,"{'_type': 'images/separated', 'width': 2992, 'height': 5202, 'format': 'png', 'count': 1}",848,1637026949,0
